x,y,wl m,Current,hc,Epp,Power,counts/sec
5.379746835,0.263461539,5.37975E-09,1.00E-12,1.99E-25,3.69E-17,3.80E-12,1.03E+05
5.379746835,0.263461539,5.37975E-09,1.00E-12,1.99E-25,3.69E-17,3.80E-12,1.03E+05
9.17721519,0.257692308,9.17722E-09,1.00E-12,1.99E-25,2.16E-17,3.88E-12,1.79E+05
13.29113924,0.268269231,1.32911E-08,1.00E-12,1.99E-25,1.49E-17,3.73E-12,2.49E+05
24.6835443,0.259615385,2.46835E-08,1.00E-12,1.99E-25,8.05E-18,3.85E-12,4.79E+05
27.53164557,0.263461539,2.75316E-08,1.00E-12,1.99E-25,7.22E-18,3.80E-12,5.26E+05
32.59493671,0.261538462,3.25949E-08,1.00E-12,1.99E-25,6.09E-18,3.82E-12,6.27E+05
42.40506329,0.260576923,4.24051E-08,1.00E-12,1.99E-25,4.68E-18,3.84E-12,8.19E+05
48.73417722,0.258653846,4.87342E-08,1.00E-12,1.99E-25,4.08E-18,3.87E-12,9.49E+05
53.48101266,0.265384615,5.3481E-08,1.00E-12,1.99E-25,3.71E-18,3.77E-12,1.01E+06
55.69620253,0.263461539,5.56962E-08,1.00E-12,1.99E-25,3.57E-18,3.80E-12,1.06E+06
57.91139241,0.269230769,5.79114E-08,1.00E-12,1.99E-25,3.43E-18,3.71E-12,1.08E+06
85.75949367,0.191346154,8.57595E-08,1.00E-12,1.99E-25,2.32E-18,5.23E-12,2.26E+06
88.60759494,0.191346154,8.86076E-08,1.00E-12,1.99E-25,2.24E-18,5.23E-12,2.33E+06
115.5063291,0.169230769,1.15506E-07,1.00E-12,1.99E-25,1.72E-18,5.91E-12,3.44E+06
118.3544304,0.161538462,1.18354E-07,1.00E-12,1.99E-25,1.68E-18,6.19E-12,3.69E+06
124.6835443,0.163461539,1.24684E-07,1.00E-12,1.99E-25,1.59E-18,6.12E-12,3.84E+06
140.1898734,0.134615385,1.4019E-07,1.00E-12,1.99E-25,1.42E-18,7.43E-12,5.24E+06
143.6708861,0.133653846,1.43671E-07,1.00E-12,1.99E-25,1.38E-18,7.48E-12,5.41E+06
151.2658228,0.119230769,1.51266E-07,1.00E-12,1.99E-25,1.31E-18,8.39E-12,6.39E+06
161.3924051,0.111538462,1.61392E-07,1.00E-12,1.99E-25,1.23E-18,8.97E-12,7.28E+06
171.5189873,0.095192308,1.71519E-07,1.00E-12,1.99E-25,1.16E-18,1.05E-11,9.07E+06
196.5189873,0.084615385,1.96519E-07,1.00E-12,1.99E-25,1.01E-18,1.18E-11,1.17E+07
202.278481,0.096774194,2.02278E-07,1.00E-12,1.99E-25,9.82E-19,1.03E-11,1.05E+07
215.8227848,0.080769231,2.15823E-07,1.00E-12,1.99E-25,9.20E-19,1.24E-11,1.35E+07
218.2278481,0.088709677,2.18228E-07,1.00E-12,1.99E-25,9.10E-19,1.13E-11,1.24E+07
222.1518987,0.078846154,2.22152E-07,1.00E-12,1.99E-25,8.94E-19,1.27E-11,1.42E+07
235.1265823,0.084615385,2.35127E-07,1.00E-12,1.99E-25,8.45E-19,1.18E-11,1.40E+07
238.7341772,0.090322581,2.38734E-07,1.00E-12,1.99E-25,8.32E-19,1.11E-11,1.33E+07
242.0886076,0.085576923,2.42089E-07,1.00E-12,1.99E-25,8.21E-19,1.17E-11,1.42E+07
248.4177215,0.088461538,2.48418E-07,1.00E-12,1.99E-25,8.00E-19,1.13E-11,1.41E+07
271.7721519,0.069354839,2.71772E-07,1.00E-12,1.99E-25,7.31E-19,1.44E-11,1.97E+07
303.6708861,0.098387097,3.03671E-07,1.00E-12,1.99E-25,6.54E-19,1.02E-11,1.55E+07
350.3797468,0.127419355,3.5038E-07,1.00E-12,1.99E-25,5.67E-19,7.85E-12,1.38E+07
368.6075949,0.130645161,3.68608E-07,1.00E-12,1.99E-25,5.39E-19,7.65E-12,1.42E+07
403.9240506,0.174193548,4.03924E-07,1.00E-12,1.99E-25,4.92E-19,5.74E-12,1.17E+07
564.556962,0.29516129,5.64557E-07,1.00E-12,1.99E-25,3.52E-19,3.39E-12,9.63E+06
795.8227848,0.432258065,7.95823E-07,1.00E-12,1.99E-25,2.50E-19,2.31E-12,9.27E+06
849.3670886,0.443548387,8.49367E-07,1.00E-12,1.99E-25,2.34E-19,2.25E-12,9.64E+06
955.3164557,0.287096774,9.55316E-07,1.00E-12,1.99E-25,2.08E-19,3.48E-12,1.68E+07
996.3291139,0.180645161,9.96329E-07,1.00E-12,1.99E-25,1.99E-19,5.54E-12,2.78E+07
1048.734177,0.056451613,1.04873E-06,1.00E-12,1.99E-25,1.89E-19,1.77E-11,9.35E+07
1070.379747,0.030645161,1.07038E-06,1.00E-12,1.99E-25,1.86E-19,3.26E-11,1.76E+08
1096.582278,0.016129032,1.09658E-06,1.00E-12,1.99E-25,1.81E-19,6.20E-11,3.42E+08
