wavelength,conversion
0.00000000537975,0.263461539
0.00000000917722,0.257692308
0.0000000132911,0.268269231
0.0000000246835,0.259615385
0.0000000275316,0.263461539
0.0000000325949,0.261538462
0.0000000424051,0.260576923
0.0000000487342,0.258653846
0.000000053481,0.265384615
0.0000000556962,0.263461539
0.0000000579114,0.269230769
0.0000000857595,0.191346154
0.0000000886076,0.191346154
0.000000115506,0.169230769
0.000000118354,0.161538462
0.000000124684,0.163461539
0.00000014019,0.134615385
0.000000143671,0.133653846
0.000000151266,0.119230769
0.000000161392,0.111538462
0.000000171519,0.095192308
0.000000196519,0.084615385
0.000000202278,0.096774194
0.000000215823,0.080769231
0.000000218228,0.088709677
0.000000222152,0.078846154
0.000000235127,0.084615385
0.000000238734,0.090322581
0.000000242089,0.085576923
0.000000248418,0.088461538
0.000000271772,0.069354839
0.000000303671,0.098387097
0.00000035038,0.127419355
0.000000368608,0.130645161
0.000000403924,0.174193548
0.000000564557,0.29516129
0.000000795823,0.432258065
0.000000849367,0.443548387
0.000000955316,0.287096774
0.000000996329,0.180645161
0.00000104873,0.056451613
0.00000107038,0.030645161
0.00000109658,0.016129032
